2017/10/12 02:42:50 Starting decoder6
2017/10/12 02:42:50 file blocksize  25
2017/10/12 06:33:28 blockbuffer value  200867255532373784442745261542645325328139660268327065120544
2017/10/12 06:35:26 blockbuffer value  200867255532373784442745261542645325328249611431104665120544
2017/10/12 06:37:24 blockbuffer value  200867255532373784442745261542645325328359562593882265120544
2017/10/12 06:39:21 blockbuffer value  200867255532373784442745261542645325328469513756659865120544
2017/10/12 06:41:19 blockbuffer value  200867255532373784442745261542645325328579464919437465120544
2017/10/12 06:43:17 blockbuffer value  200867255532373784442745261542645325328689416082215065120544
2017/10/12 06:45:15 blockbuffer value  200867255532373784442745261542645325328799367244992665120544
2017/10/12 06:47:13 blockbuffer value  200867255532373784442745261542645325328909318407770265120544
2017/10/12 06:49:11 blockbuffer value  200867255532373784442745261542645325329019269570547865120544
2017/10/12 06:51:09 blockbuffer value  200867255532373784442745261542645325329129220733325465120544
2017/10/12 06:53:07 blockbuffer value  200867255532373784442745261542645325329239171896103065120544
2017/10/12 06:55:05 blockbuffer value  200867255532373784442745261542645325329349123058880665120544
2017/10/12 06:57:03 blockbuffer value  200867255532373784442745261542645325329459074221658265120544
2017/10/12 06:59:01 blockbuffer value  200867255532373784442745261542645325329569025384435865120544
2017/10/12 07:01:00 blockbuffer value  200867255532373784442745261542645325329678976547213465120544
2017/10/12 07:02:58 blockbuffer value  200867255532373784442745261542645325329788927709991065120544
2017/10/12 07:04:56 blockbuffer value  200867255532373784442745261542645325329898878872768665120544
2017/10/12 07:06:54 blockbuffer value  200867255532373784442745261542645325330008830035546265120544
2017/10/12 07:08:52 blockbuffer value  200867255532373784442745261542645325330118781198323865120544
2017/10/12 07:10:50 blockbuffer value  200867255532373784442745261542645325330228732361101465120544
2017/10/12 07:12:48 blockbuffer value  200867255532373784442745261542645325330338683523879065120544
2017/10/12 07:14:46 blockbuffer value  200867255532373784442745261542645325330448634686656665120544
2017/10/12 07:16:44 blockbuffer value  200867255532373784442745261542645325330558585849434265120544
2017/10/12 07:18:42 blockbuffer value  200867255532373784442745261542645325330668537012211865120544
2017/10/12 07:20:40 blockbuffer value  200867255532373784442745261542645325330778488174989465120544
2017/10/12 07:22:38 blockbuffer value  200867255532373784442745261542645325330888439337767065120544
2017/10/12 07:24:36 blockbuffer value  200867255532373784442745261542645325330998390500544665120544
2017/10/12 07:26:34 blockbuffer value  200867255532373784442745261542645325331108341663322265120544
2017/10/12 07:28:32 blockbuffer value  200867255532373784442745261542645325331218292826099865120544
2017/10/12 07:30:30 blockbuffer value  200867255532373784442745261542645325331328243988877465120544
2017/10/12 07:32:28 blockbuffer value  200867255532373784442745261542645325331438195151655065120544
2017/10/12 07:34:26 blockbuffer value  200867255532373784442745261542645325331548146314432665120544
2017/10/12 07:36:24 blockbuffer value  200867255532373784442745261542645325331658097477210265120544
2017/10/12 07:38:22 blockbuffer value  200867255532373784442745261542645325331768048639987865120544
2017/10/12 07:40:20 blockbuffer value  200867255532373784442745261542645325331877999802765465120544
2017/10/12 07:42:19 blockbuffer value  200867255532373784442745261542645325331987950965543065120544
2017/10/12 07:44:17 blockbuffer value  200867255532373784442745261542645325332097902128320665120544
2017/10/12 07:46:15 blockbuffer value  200867255532373784442745261542645325332207853291098265120544
2017/10/12 07:48:13 blockbuffer value  200867255532373784442745261542645325332317804453875865120544
2017/10/12 07:50:11 blockbuffer value  200867255532373784442745261542645325332427755616653465120544
2017/10/12 07:52:09 blockbuffer value  200867255532373784442745261542645325332537706779431065120544
2017/10/12 07:54:08 blockbuffer value  200867255532373784442745261542645325332647657942208665120544
2017/10/12 07:56:05 blockbuffer value  200867255532373784442745261542645325332757609104986265120544
2017/10/12 07:58:03 blockbuffer value  200867255532373784442745261542645325332867560267763865120544
2017/10/12 08:00:01 blockbuffer value  200867255532373784442745261542645325332977511430541465120544
2017/10/12 08:01:59 blockbuffer value  200867255532373784442745261542645325333087462593319065120544
2017/10/12 08:03:57 blockbuffer value  200867255532373784442745261542645325333197413756096665120544
2017/10/12 08:05:55 blockbuffer value  200867255532373784442745261542645325333307364918874265120544
2017/10/12 08:07:53 blockbuffer value  200867255532373784442745261542645325333417316081651865120544
2017/10/12 08:09:51 blockbuffer value  200867255532373784442745261542645325333527267244429465120544
2017/10/12 08:11:49 blockbuffer value  200867255532373784442745261542645325333637218407207065120544
2017/10/12 08:13:46 blockbuffer value  200867255532373784442745261542645325333747169569984665120544
2017/10/12 08:15:44 blockbuffer value  200867255532373784442745261542645325333857120732762265120544
2017/10/12 08:17:42 blockbuffer value  200867255532373784442745261542645325333967071895539865120544
2017/10/12 08:19:40 blockbuffer value  200867255532373784442745261542645325334077023058317465120544
2017/10/12 08:21:38 blockbuffer value  200867255532373784442745261542645325334186974221095065120544
2017/10/12 08:23:35 blockbuffer value  200867255532373784442745261542645325334296925383872665120544
2017/10/12 08:25:33 blockbuffer value  200867255532373784442745261542645325334406876546650265120544
2017/10/12 08:27:31 blockbuffer value  200867255532373784442745261542645325334516827709427865120544
2017/10/12 08:29:29 blockbuffer value  200867255532373784442745261542645325334626778872205465120544
2017/10/12 08:31:27 blockbuffer value  200867255532373784442745261542645325334736730034983065120544
2017/10/12 08:33:25 blockbuffer value  200867255532373784442745261542645325334846681197760665120544
2017/10/12 08:35:23 blockbuffer value  200867255532373784442745261542645325334956632360538265120544
2017/10/12 08:37:21 blockbuffer value  200867255532373784442745261542645325335066583523315865120544
2017/10/12 08:39:19 blockbuffer value  200867255532373784442745261542645325335176534686093465120544
2017/10/12 08:41:17 blockbuffer value  200867255532373784442745261542645325335286485848871065120544
2017/10/12 08:43:15 blockbuffer value  200867255532373784442745261542645325335396437011648665120544
2017/10/12 08:45:13 blockbuffer value  200867255532373784442745261542645325335506388174426265120544
2017/10/12 08:47:11 blockbuffer value  200867255532373784442745261542645325335616339337203865120544
2017/10/12 08:49:09 blockbuffer value  200867255532373784442745261542645325335726290499981465120544
2017/10/12 08:51:06 blockbuffer value  200867255532373784442745261542645325335836241662759065120544
2017/10/12 08:53:04 blockbuffer value  200867255532373784442745261542645325335946192825536665120544
2017/10/12 08:55:03 blockbuffer value  200867255532373784442745261542645325336056143988314265120544
2017/10/12 08:57:01 blockbuffer value  200867255532373784442745261542645325336166095151091865120544
2017/10/12 08:58:58 blockbuffer value  200867255532373784442745261542645325336276046313869465120544
2017/10/12 09:00:56 blockbuffer value  200867255532373784442745261542645325336385997476647065120544
2017/10/12 09:02:55 blockbuffer value  200867255532373784442745261542645325336495948639424665120544
2017/10/12 09:04:53 blockbuffer value  200867255532373784442745261542645325336605899802202265120544
2017/10/12 09:06:51 blockbuffer value  200867255532373784442745261542645325336715850964979865120544
2017/10/12 09:08:49 blockbuffer value  200867255532373784442745261542645325336825802127757465120544
2017/10/12 09:10:47 blockbuffer value  200867255532373784442745261542645325336935753290535065120544
2017/10/12 09:12:45 blockbuffer value  200867255532373784442745261542645325337045704453312665120544
2017/10/12 09:14:42 blockbuffer value  200867255532373784442745261542645325337155655616090265120544
2017/10/12 09:16:41 blockbuffer value  200867255532373784442745261542645325337265606778867865120544
2017/10/12 09:18:39 blockbuffer value  200867255532373784442745261542645325337375557941645465120544
2017/10/12 09:20:37 blockbuffer value  200867255532373784442745261542645325337485509104423065120544
2017/10/12 09:22:35 blockbuffer value  200867255532373784442745261542645325337595460267200665120544
2017/10/12 09:24:33 blockbuffer value  200867255532373784442745261542645325337705411429978265120544
2017/10/12 09:26:31 blockbuffer value  200867255532373784442745261542645325337815362592755865120544
2017/10/12 09:28:29 blockbuffer value  200867255532373784442745261542645325337925313755533465120544
2017/10/12 09:30:27 blockbuffer value  200867255532373784442745261542645325338035264918311065120544
2017/10/12 09:32:25 blockbuffer value  200867255532373784442745261542645325338145216081088665120544
2017/10/12 09:34:23 blockbuffer value  200867255532373784442745261542645325338255167243866265120544
2017/10/12 09:36:21 blockbuffer value  200867255532373784442745261542645325338365118406643865120544
2017/10/12 09:38:19 blockbuffer value  200867255532373784442745261542645325338475069569421465120544
2017/10/12 09:40:17 blockbuffer value  200867255532373784442745261542645325338585020732199065120544
2017/10/12 09:42:15 blockbuffer value  200867255532373784442745261542645325338694971894976665120544
2017/10/12 09:44:13 blockbuffer value  200867255532373784442745261542645325338804923057754265120544
